MSAID,BETA,FLUX_BETA,PIVOT_BETA,REDSHIFT,A,SIGMA,FLUX_LA,EW_LA
1747_902,-1.790238085269125,107978474833.77443,2000.0,7.905,-425936226668.0896,10.0,-5304241239932.118,-40.55487277922348
1747_902,-1.591421280837564,107152297753.83698,2000.0,7.905,-231654278467.87045,10.0,-2884821952966.9165,-24.538870491662433
1747_902,-1.6233365491348908,106752514168.42053,2000.0,7.905,-292715162108.56396,10.0,-3645221366952.5396,-30.632563269607292
1747_902,-1.781485363435083,106853311598.61548,2000.0,7.905,-261399370522.25626,10.0,-3255241593471.917,-25.260639266152673
1747_902,-1.6589424159393449,107411345963.42647,2000.0,7.905,-315444757579.753,10.0,-3928276082932.836,-32.23235848473603
1747_902,-1.726440097448988,105775109507.2875,2000.0,7.905,-117249904343.88362,10.0,-1460128862163.1035,-11.764035990531054
1747_902,-1.6696027458120437,104752101588.13383,2000.0,7.905,-344613822845.09174,10.0,-4291522384194.847,-35.915699302331205
1747_902,-1.8649018267076385,104667330726.9514,2000.0,7.905,-310637502801.81195,10.0,-3868410691243.845,-29.399363972843027
1747_902,-1.7666411264908635,106152492574.12561,2000.0,7.905,-284096633742.7534,10.0,-3537893671576.4893,-27.84021968225288
1747_902,-1.7274110732268477,106942332229.76416,2000.0,7.905,-205238266037.35938,10.0,-2555859789723.492,-20.357578258002086
1747_902,-1.7811470125889548,105227005633.31238,2000.0,7.905,-183223901217.9669,10.0,-2281711937451.407,-17.982739091525026
1747_902,-1.7035191289194942,109099129416.216,2000.0,7.905,-143283272252.42426,10.0,-1784325901600.2092,-14.097969282501213
1747_902,-1.8271117620748938,105384869391.58244,2000.0,7.905,-314452662872.4378,10.0,-3915921393824.505,-30.11906391909531
1747_902,-1.7372277733667947,108541119491.86545,2000.0,7.905,-278205907874.4768,10.0,-3464535668365.375,-27.056232575989927
1747_902,-1.7994959739145273,104642071291.09305,2000.0,7.905,-160695649772.41888,10.0,-2001164585760.2993,-15.715641380005167
1747_902,-1.7537863569126166,104884995317.36139,2000.0,7.905,-214440228336.34583,10.0,-2670453066506.7295,-21.404671801657866
1747_902,-1.8275158081726608,103583419834.97166,2000.0,7.905,-331713690724.3842,10.0,-4130875300168.931,-32.31843047096917
1747_902,-1.716365327550387,108897936737.02765,2000.0,7.905,-288723377156.4021,10.0,-3595511130915.968,-28.27922975404626
1747_902,-1.6726830486478985,108766296536.87575,2000.0,7.905,-213023978528.93887,10.0,-2652816316767.789,-21.349250299066583
1747_902,-1.6696305418002122,105870039066.10728,2000.0,7.905,-252888794725.49286,10.0,-3149258245988.451,-26.077435651431664
